Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md,
Afghanistan,4,Total water withdrawal per capita,4257,2017,561.2970182,E,,0
Albania,8,Total water withdrawal per capita,4257,2017,492.273511,E,,0
Algeria,12,Total water withdrawal per capita,4257,2017,252.7713215,E,,0
Angola,24,Total water withdrawal per capita,4257,2017,23.6712459,E,,0
Antigua and Barbuda,28,Total water withdrawal per capita,4257,2017,120.5122294,E,,0
Argentina,32,Total water withdrawal per capita,4257,2017,859.8647978,E,,0
Armenia,51,Total water withdrawal per capita,4257,2017,973.1760251,E,,0
Australia,36,Total water withdrawal per capita,4257,2017,673.3478085,E,,0
Austria,40,Total water withdrawal per capita,4257,2017,395.9341494,E,,0
Azerbaijan,31,Total water withdrawal per capita,4257,2017,1298.241195,E,,0
Bahrain,48,Total water withdrawal per capita,4257,2017,290.7482618,E,,0
Bangladesh,50,Total water withdrawal per capita,4257,2017,224.6291434,E,,0
Barbados,52,Total water withdrawal per capita,4257,2017,282.9872271,E,,0
Belarus,112,Total water withdrawal per capita,4257,2017,147.8270743,E,,0
Belgium,56,Total water withdrawal per capita,4257,2017,349.7450206,E,,0
Belize,84,Total water withdrawal per capita,4257,2017,268.7821507,E,,0
Benin,204,Total water withdrawal per capita,4257,2017,20.93922631,E,,0
Bhutan,64,Total water withdrawal per capita,4257,2017,453.3486774,E,,0
Bolivia (Plurinational State of),68,Total water withdrawal per capita,4257,2017,186.5475788,E,,0
Botswana,72,Total water withdrawal per capita,4257,2017,87.52516915,E,,0
Brazil,76,Total water withdrawal per capita,4257,2017,316.0265209,E,,0
Brunei Darussalam,96,Total water withdrawal per capita,4257,2017,216.739345,E,,0
Bulgaria,100,Total water withdrawal per capita,4257,2017,796.6975875,E,,0
Burkina Faso,854,Total water withdrawal per capita,4257,2017,42.61918549,E,,0
Burundi,108,Total water withdrawal per capita,4257,2017,25.87046351,E,,0
Cabo Verde,132,Total water withdrawal per capita,4257,2017,50.23274505,E,,0
Cambodia,116,Total water withdrawal per capita,4257,2017,136.4197766,E,,0
Cameroon,120,Total water withdrawal per capita,4257,2017,44.30500553,E,,0
Canada,124,Total water withdrawal per capita,4257,2017,969.0980054,E,,0
Central African Republic,140,Total water withdrawal per capita,4257,2017,15.77450766,E,,0
Chad,148,Total water withdrawal per capita,4257,2017,58.57458,E,,0
Chile,152,Total water withdrawal per capita,4257,2017,1918.254352,E,,0
China,156,Total water withdrawal per capita,4257,2017,411.7373028,E,,0
Colombia,170,Total water withdrawal per capita,4257,2017,278.287565,E,,0
Comoros,174,Total water withdrawal per capita,4257,2017,12.28664245,E,,0
Congo,178,Total water withdrawal per capita,4257,2017,17.94276512,E,,0
Costa Rica,188,Total water withdrawal per capita,4257,2017,645.2585216,E,,0
Côte d'Ivoire,384,Total water withdrawal per capita,4257,2017,47.5499305,E,,0
Croatia,191,Total water withdrawal per capita,4257,2017,170.9357982,E,,0
Cuba,192,Total water withdrawal per capita,4257,2017,613.7088031,E,,0
Cyprus,196,Total water withdrawal per capita,4257,2017,263.6312621,E,,0
Czechia,203,Total water withdrawal per capita,4257,2017,153.2181929,E,,0
Democratic People's Republic of Korea,408,Total water withdrawal per capita,4257,2017,340.4584971,E,,0
Democratic Republic of the Congo,180,Total water withdrawal per capita,4257,2017,8.398161918,E,,0
Denmark,208,Total water withdrawal per capita,4257,2017,129.2855157,E,,0
Djibouti,262,Total water withdrawal per capita,4257,2017,20.12500808,E,,0
Dominica,212,Total water withdrawal per capita,4257,2017,279.8846875,E,,0
Dominican Republic,214,Total water withdrawal per capita,4257,2017,863.4842764,E,,0
Ecuador,218,Total water withdrawal per capita,4257,2017,590.8720104,E,,0
Egypt,818,Total water withdrawal per capita,4257,2017,803.5868717,E,,0
El Salvador,222,Total water withdrawal per capita,4257,2017,331.5526337,E,,0
Equatorial Guinea,226,Total water withdrawal per capita,4257,2017,15.68935707,E,,0
Eritrea,232,Total water withdrawal per capita,4257,2017,170.5298115,E,,0
Estonia,233,Total water withdrawal per capita,4257,2017,1352.822138,E,,0
Eswatini,748,Total water withdrawal per capita,4257,2017,949.497913,E,,0
Ethiopia,231,Total water withdrawal per capita,4257,2017,99.13634901,E,,0
Fiji,242,Total water withdrawal per capita,4257,2017,96.75665758,E,,0
Finland,246,Total water withdrawal per capita,4257,2017,338.7541866,E,,0
France,250,Total water withdrawal per capita,4257,2017,407.7263574,E,,0
Gabon,266,Total water withdrawal per capita,4257,2017,67.36654909,E,,0
Gambia,270,Total water withdrawal per capita,4257,2017,45.89209305,E,,0
Georgia,268,Total water withdrawal per capita,4257,2017,454.75908,E,,0
Germany,276,Total water withdrawal per capita,4257,2017,295.6468712,E,,0
Ghana,288,Total water withdrawal per capita,4257,2017,50.29279949,E,,0
Greece,300,Total water withdrawal per capita,4257,2017,1063.470663,E,,0
Grenade,308,Total water withdrawal per capita,4257,2017,127.1713837,E,,0
Guatemala,320,Total water withdrawal per capita,4257,2017,196.5182321,E,,0
Guinea,324,Total water withdrawal per capita,4257,2017,47.55741425,E,,0
Guinea-Bissau,624,Total water withdrawal per capita,4257,2017,103.9304869,E,,0
Guyana,328,Total water withdrawal per capita,4257,2017,1863.595202,E,,0
Haiti,332,Total water withdrawal per capita,4257,2017,132.0298377,E,,0
Honduras,340,Total water withdrawal per capita,4257,2017,170.4314121,E,,0
Hungary,348,Total water withdrawal per capita,4257,2017,462.6086209,E,,0
Iceland,352,Total water withdrawal per capita,4257,2017,832.2542637,E,,0
India,356,Total water withdrawal per capita,4257,2017,568.4717988,E,,0
Indonesia,360,Total water withdrawal per capita,4257,2017,841.2400903,E,,0
Iran (Islamic Republic of),364,Total water withdrawal per capita,4257,2017,1156.508111,E,,0
Iraq,368,Total water withdrawal per capita,4257,2017,1026.55513,E,,0
Ireland,372,Total water withdrawal per capita,4257,2017,181.1381154,E,,0
Israel,376,Total water withdrawal per capita,4257,2017,279.4811355,E,,0
Italy,380,Total water withdrawal per capita,4257,2017,563.4731265,E,,0
Jamaica,388,Total water withdrawal per capita,4257,2017,463.5640061,E,,0
Japan,392,Total water withdrawal per capita,4257,2017,638.8098764,E,,0
Jordan,400,Total water withdrawal per capita,4257,2017,106.694947,E,,0
Kazakhstan,398,Total water withdrawal per capita,4257,2017,1352.376897,E,,0
Kenya,404,Total water withdrawal per capita,4257,2017,80.28491268,E,,0
Kuwait,414,Total water withdrawal per capita,4257,2017,308.1778822,E,,0
Kyrgyzstan,417,Total water withdrawal per capita,4257,2017,1237.533186,E,,0
Lao People's Democratic Republic,418,Total water withdrawal per capita,4257,2017,1052.777672,E,,0
Latvia,428,Total water withdrawal per capita,4257,2017,92.81957791,E,,0
Lebanon,422,Total water withdrawal per capita,4257,2017,269.8195274,E,,0
Lesotho,426,Total water withdrawal per capita,4257,2017,20.94156729,E,,0
Liberia,430,Total water withdrawal per capita,4257,2017,31.02785787,E,,0
Libya,434,Total water withdrawal per capita,4257,2017,885.9207589,E,,0
Lithuania,440,Total water withdrawal per capita,4257,2017,91.02366123,E,,0
Luxembourg,442,Total water withdrawal per capita,4257,2017,77.038739,E,,0
Madagascar,450,Total water withdrawal per capita,4257,2017,530.177104,E,,0
Malawi,454,Total water withdrawal per capita,4257,2017,76.78466045,E,,0
Malaysia,458,Total water withdrawal per capita,4257,2017,176.4366648,E,,0
Maldives,462,Total water withdrawal per capita,4257,2017,11.88552826,E,,0
Mali,466,Total water withdrawal per capita,4257,2017,280.1361031,E,,0
Malta,470,Total water withdrawal per capita,4257,2017,145.6843855,E,,0
Mauritania,478,Total water withdrawal per capita,4257,2017,315.2779756,E,,0
Mauritius,480,Total water withdrawal per capita,4257,2017,487.149456,E,,0
Mexico,484,Total water withdrawal per capita,4257,2017,704.0061221,E,,0
Monaco,492,Total water withdrawal per capita,4257,2017,130.2354657,E,,0
Mongolia,496,Total water withdrawal per capita,4257,2017,148.5008925,E,,0
Montenegro,499,Total water withdrawal per capita,4257,2017,256.3886016,E,,0
Morocco,504,Total water withdrawal per capita,4257,2017,293.1599799,E,,0
Mozambique,508,Total water withdrawal per capita,4257,2017,51.41537487,E,,0
Myanmar,104,Total water withdrawal per capita,4257,2017,625.5118365,E,,0
Namibia,516,Total water withdrawal per capita,4257,2017,119.8684943,E,,0
Nepal,524,Total water withdrawal per capita,4257,2017,343.6908637,E,,0
Netherlands,528,Total water withdrawal per capita,4257,2017,944.4904684,E,,0
New Zealand,554,Total water withdrawal per capita,4257,2017,1106.117055,E,,0
Nicaragua,558,Total water withdrawal per capita,4257,2017,241.9165631,E,,0
Niger,562,Total water withdrawal per capita,4257,2017,81.05124703,E,,0
Nigeria,566,Total water withdrawal per capita,4257,2017,65.35751024,E,,0
North Macedonia,807,Total water withdrawal per capita,4257,2017,399.8697833,E,,0
Norway,578,Total water withdrawal per capita,4257,2017,508.1258216,E,,0
Oman,512,Total water withdrawal per capita,4257,2017,401.2063624,E,,0
Pakistan,586,Total water withdrawal per capita,4257,2017,882.3690302,E,,0
Palestine,275,Total water withdrawal per capita,4257,2017,79.03561384,E,,0
Panama,591,Total water withdrawal per capita,4257,2017,294.9764158,E,,0
Papua New Guinea,598,Total water withdrawal per capita,4257,2017,46.46815918,E,,0
Paraguay,600,Total water withdrawal per capita,4257,2017,351.3875878,E,,0
Peru,604,Total water withdrawal per capita,4257,2017,512.131007,E,,0
Philippines,608,Total water withdrawal per capita,4257,2017,881.8714512,E,,0
Poland,616,Total water withdrawal per capita,4257,2017,265.6167415,E,,0
Portugal,620,Total water withdrawal per capita,4257,2017,1086.46262,E,,0
Puerto Rico,630,Total water withdrawal per capita,4257,2017,1035.03308,E,,0
Qatar,634,Total water withdrawal per capita,4257,2017,334.9325144,E,,0
Republic of Korea,410,Total water withdrawal per capita,4257,2017,530.0176147,E,,0
Republic of Moldova,498,Total water withdrawal per capita,4257,2017,206.9126563,E,,0
Romania,642,Total water withdrawal per capita,4257,2017,344.6123274,E,,0
Russian Federation,643,Total water withdrawal per capita,4257,2017,442.5889075,E,,0
Rwanda,646,Total water withdrawal per capita,4257,2017,15.34935303,E,,0
Saint Kitts and Nevis,659,Total water withdrawal per capita,4257,2017,299.7406091,E,,0
Saint Lucia,662,Total water withdrawal per capita,4257,2017,237.0768262,E,,0
Saint Vincent and the Grenadines,670,Total water withdrawal per capita,4257,2017,77.41265809,E,,0
Sao Tome and Principe,678,Total water withdrawal per capita,4257,2017,197.4996258,E,,0
Saudi Arabia,682,Total water withdrawal per capita,4257,2017,705.4129401,E,,0
Senegal,686,Total water withdrawal per capita,4257,2017,144.0397474,E,,0
Serbia,688,Total water withdrawal per capita,4257,2017,609.0064043,E,,0
Seychelles,690,Total water withdrawal per capita,4257,2017,142.0896513,E,,0
Sierra Leone,694,Total water withdrawal per capita,4257,2017,28.33707444,E,,0
Singapore,702,Total water withdrawal per capita,4257,2017,115.5212445,E,,0
Slovakia,703,Total water withdrawal per capita,4257,2017,102.1127407,E,,0
Slovenia,705,Total water withdrawal per capita,4257,2017,448.5661199,E,,0
Somalia,706,Total water withdrawal per capita,4257,2017,226.0579571,E,,0
South Africa,710,Total water withdrawal per capita,4257,2017,339.9418163,E,,0
South Sudan,728,Total water withdrawal per capita,4257,2017,60.30742305,E,,0
Spain,724,Total water withdrawal per capita,4257,2017,669.1901641,E,,0
Sri Lanka,144,Total water withdrawal per capita,4257,2017,612.7404578,E,,0
Sudan,729,Total water withdrawal per capita,4257,2017,659.9548673,E,,0
Suriname,740,Total water withdrawal per capita,4257,2017,1079.586886,E,,0
Sweden,752,Total water withdrawal per capita,4257,2017,239.7804076,E,,0
Switzerland,756,Total water withdrawal per capita,4257,2017,205.0425956,E,,0
Syrian Arab Republic,760,Total water withdrawal per capita,4257,2017,980.3881425,E,,0
Tajikistan,762,Total water withdrawal per capita,4257,2017,1294.420394,E,,0
Thailand,764,Total water withdrawal per capita,4257,2017,828.0040069,E,,0
Timor-Leste,626,Total water withdrawal per capita,4257,2017,942.6844629,E,,0
Togo,768,Total water withdrawal per capita,4257,2017,28.96677965,E,,0
Trinidad and Tobago,780,Total water withdrawal per capita,4257,2017,276.8668099,E,,0
Tunisia,788,Total water withdrawal per capita,4257,2017,426.3807499,E,,0
Turkey,792,Total water withdrawal per capita,4257,2017,726.9055783,E,,0
Turkmenistan,795,Total water withdrawal per capita,4257,2017,4855.091481,E,,0
Uganda,800,Total water withdrawal per capita,4257,2017,15.47371378,E,,0
Ukraine,804,Total water withdrawal per capita,4257,2017,206.3491289,E,,0
United Arab Emirates,784,Total water withdrawal per capita,4257,2017,421.4097664,E,,0
United Kingdom,826,Total water withdrawal per capita,4257,2017,126.1849301,E,,0
United Republic of Tanzania,834,Total water withdrawal per capita,4257,2017,94.84024605,E,,0
United States of America,840,Total water withdrawal per capita,4257,2017,1366.689738,E,,0
Uruguay,858,Total water withdrawal per capita,4257,2017,1064.993405,E,,0
Uzbekistan,860,Total water withdrawal per capita,4257,2017,1842.941059,E,,0
Venezuela (Bolivarian Republic of),862,Total water withdrawal per capita,4257,2017,769.5370228,E,,0
Viet Nam,704,Total water withdrawal per capita,4257,2017,867.1187961,E,,0
Yemen,887,Total water withdrawal per capita,4257,2017,128.0769959,E,,0
Zambia,894,Total water withdrawal per capita,4257,2017,93.27384614,E,,0
Zimbabwe,716,Total water withdrawal per capita,4257,2017,234.5434424,E,,0
,,,,,,,,
,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
(c)  FAO of the UN,,,,,,,,
The information contained in AQUASTAT is provided free of charge to all users. Recommended citation:<br/>,,,,,,,,
"FAO [Year of publication].AQUASTAT Database. AQUASTAT&nbsp;<a href=""""http://www.fao.org/nr/water/aquastat/data/query/index.html?lang=en"""" target=""""_blank"""">Website</a>&nbsp;accessed on&nbsp;[06/05/2021 21:39]",,,,,,,,
 ,,,,,,,,